user_id,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,delta_mfcc_1,delta_mfcc_2,delta_mfcc_3,delta_mfcc_4,delta_mfcc_5,delta_mfcc_6,delta_mfcc_7,delta_mfcc_8,delta_mfcc_9,delta_mfcc_10,delta_mfcc_11,delta_mfcc_12,delta_mfcc_13,delta2_mfcc_1,delta2_mfcc_2,delta2_mfcc_3,delta2_mfcc_4,delta2_mfcc_5,delta2_mfcc_6,delta2_mfcc_7,delta2_mfcc_8,delta2_mfcc_9,delta2_mfcc_10,delta2_mfcc_11,delta2_mfcc_12,delta2_mfcc_13,pitch_mean,energy_mean,zcr_mean,rolloff_mean
2,-719.7816,46.123837,-2.958465,23.935926,-15.387298,-11.616997,-17.538584,0.075204,-18.319662,-9.43672,-14.241179,-5.498654,-8.617661,0.080247,-0.947664,0.3585,0.349191,-0.339466,0.460212,-0.249901,0.000468,0.171395,0.030174,-0.16479,0.181321,0.003637,-0.049148,0.095546,-0.163835,0.110836,0.060453,-0.113153,0.10361,-0.065558,0.04052,-0.134158,-0.045108,0.039125,0.047259,52.087408,0.003019,0.343047,5114.833577
2,-699.47943,43.631645,0.045781,14.007774,-11.964338,-8.952531,-16.9993,-3.195136,-23.854826,-10.920714,-12.910436,-6.103605,-6.937909,0.523889,0.203435,0.061826,0.630067,0.234205,-0.230473,0.175589,0.176418,-0.166421,-0.051017,0.017837,-0.112125,-0.125363,0.197311,0.078898,-0.022902,0.13504,0.056891,-0.046736,0.051247,0.027115,-0.034736,0.024436,0.023974,-0.003637,0.020123,51.771008,0.002712,0.36424,5296.320597
2,-707.8136,65.88353,-12.013699,14.154866,-4.515936,-14.216278,-19.486555,-7.445198,-22.377758,-8.836895,-13.097553,-11.360332,-4.047561,0.046962,0.271184,0.306788,0.059042,0.158283,0.238364,0.032141,0.026786,0.092036,-0.022399,-0.068885,-0.051233,-0.071201,0.039165,-0.063776,-0.087375,0.045824,-0.022607,-0.070993,0.042895,0.034044,-0.009869,0.049909,0.06173,0.032971,0.032304,55.676703,0.002857,0.30301,4444.762166
2,-691.1801,41.63599,-2.941528,18.265368,-1.523667,-12.159684,-12.661803,-7.475162,-13.986523,-9.139935,-9.862062,-6.549532,-8.187921,0.476478,-0.731058,-0.038648,0.185731,-0.341412,0.338149,-0.226549,0.196173,0.109639,-0.056414,0.041974,0.02479,0.015534,0.17318,0.018499,-0.004146,0.078176,0.043751,-0.027112,-0.092513,-0.041217,-0.021313,0.023781,-0.051284,0.00148,0.018272,49.786942,0.002483,0.341508,4971.428426
2,-670.51514,41.521877,-6.891336,20.810493,-3.983776,-15.076172,-16.487425,-4.060045,-15.419372,-8.750861,-8.346593,-6.317554,-7.94969,0.14858,0.059018,0.151153,0.349786,0.097644,-0.091137,0.011049,0.016903,-0.121728,-0.144024,-0.074404,-0.047097,-0.103777,-0.258572,-0.022524,0.02841,-0.301861,-0.083654,0.178338,0.095942,0.031393,0.085401,0.097002,0.025082,-0.026592,0.022978,52.793689,0.003001,0.346354,5120.017497
4,-760.81525,58.909225,-5.47566,12.063905,0.033621,-1.926103,-10.244096,-8.021975,-9.070755,-0.200227,-7.376932,0.814089,-4.993305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.079802,0.001965,0.472066,6199.917603
4,-717.58075,58.903122,-7.411941,3.088194,-9.351752,-2.800234,-9.49561,-5.116928,-8.306911,-1.808068,-2.905811,-1.475168,-5.951477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.360542,0.002573,0.389027,5366.851807
4,-760.29846,46.77375,-8.763032,18.809324,0.35844,-5.428229,-14.205608,-5.49174,-6.148016,1.44421,-6.840067,-0.821986,-3.650938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.844951,0.001958,0.536162,6947.099813
4,-722.8883,34.00429,-6.247796,18.393278,-0.089448,1.956964,-14.654826,1.571271,-4.911752,-4.630652,-7.732886,-3.115588,-10.074365,0.650105,-0.387396,-0.365001,0.426842,-0.200783,-0.023053,0.012047,-0.066264,0.138728,0.067968,-0.034155,-0.109082,-0.10545,-0.017627,-0.030595,-0.009546,0.008747,0.009745,-0.011697,-0.021613,-0.023374,-0.020378,0.006626,0.012816,0.009975,-0.015839,23.989289,0.0021,0.448152,5965.843709
4,-727.58203,61.069756,-1.610702,25.6847,-7.419392,1.759986,-20.155571,-0.747379,-9.323357,-3.358755,-11.861201,-5.231478,-9.815925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.153175,0.002137,0.349474,5122.45992
